"country","avg_per_year"
"Afghanistan",7521.77777777778
"Akrotiri and Dhekelia",1.75
"Albania",168.5
"Algeria",783.416666666667
"Andorra",5.4
"Angola",93
"Armenia",869.375
"Austria",343
"Azerbaijan",2368.125
"Bahrain",1331.3
"Bailiwick of Guernsey",3
"Bailiwick of Jersey",4.66666666666667
"Belarus",506.625
"Belgium",648.166666666667
"Benin",134
"Bosnia and Herzegovina",159.375
"Bulgaria",497.5
"Burkina Faso",977.75
"Burundi",660.916666666667
"Cameroon",1335.08333333333
"Cape Verde",45.5
"Central African Republic",510.666666666667
"Chad",120.5
"Comoros",32
"Croatia",157.75
"Cyprus",264.625
"Czech Republic",236.5
"Democratic Republic of Congo",2217.66666666667
"Denmark",461.833333333333
"Djibouti",13.25
"Egypt",575.666666666667
"Equatorial Guinea",4.6
"Eritrea",6.58333333333333
"Estonia",65.5
"Ethiopia",1060.16666666667
"Faroe Islands",1.75
"Finland",270.833333333333
"France",6312.33333333333
"Gabon",37.1666666666667
"Gambia",16.75
"Georgia",610.875
"Germany",4034
"Ghana",203.916666666667
"Gibraltar",1
"Greece",741.25
"Greenland",7.8
"Guinea",195.583333333333
"Guinea-Bissau",15.5833333333333
"Hungary",194.166666666667
"Iceland",39.5
"Iran",2992.2
"Iraq",6196.4
"Ireland",272.833333333333
"Isle of Man",3
"Israel",1687.1
"Italy",4264.33333333333
"Ivory Coast",150.083333333333
"Jordan",395.4
"Kazakhstan",648.75
"Kenya",1049.16666666667
"Kosovo",140.375
"Kuwait",14.4444444444444
"Kyrgyzstan",273.375
"Latvia",46.8333333333333
"Lebanon",3205.1
"Liberia",64.3333333333333
"Libya",860.083333333333
"Liechtenstein",3.75
"Lithuania",80.1666666666667
"Luxembourg",30.3333333333333
"Madagascar",302.583333333333
"Malawi",118.5
"Mali",965.666666666667
"Malta",59.8333333333333
"Mauritania",147.833333333333
"Mauritius",97.1666666666667
"Mayotte",58.6666666666667
"Moldova",238.875
"Monaco",3.6
"Montenegro",182.375
"Morocco",1041.08333333333
"Mozambique",368.5
"Netherlands",723
"Niger",368.75
"Nigeria",2945.91666666667
"North Macedonia",161.25
"Norway",338.5
"Oman",7.66666666666667
"Palestine",6807.5
"Poland",1317.66666666667
"Portugal",416.333333333333
"Qatar",8.71428571428571
"Republic of Congo",18.9166666666667
"Reunion",104.166666666667
"Romania",369.5
"Russia",4020.25
"Rwanda",25.25
"San Marino",6.6
"Sao Tome and Principe",8.4
"Saudi Arabia",321.636363636364
"Senegal",125.25
"Serbia",539.125
"Seychelles",3.8
"Sierra Leone",48.5833333333333
"Slovakia",153.166666666667
"Slovenia",99.3333333333333
"Somalia",2921.16666666667
"South Sudan",1174.58333333333
"Spain",3329
"Sudan",2276.83333333333
"Sweden",1085.66666666667
"Switzerland",166.5
"Syria",15438.6666666667
"Tajikistan",21.75
"Tanzania",57.75
"Togo",35.6666666666667
"Tunisia",823.166666666667
"Turkey",4261.8
"Turkmenistan",8
"Uganda",430.5
"Ukraine",26374.875
"United Arab Emirates",5
"United Kingdom",1373.33333333333
"Uzbekistan",129.25
"Vatican City",2
"Yemen",8757.90909090909
